CodigoContexto;CodigoFraccion;CodigoMuestra;CodigoTaxon;CodigoYacimiento;Conservacion;CulturaContexto;Divisor;Especie;esTaxonSQLFastUUID;Familia;FaseContexto;Fragmentos;Genero;GrupoTaxon;Identificacion;Individuos;LabelResto;ListaTerritorios;MultiFrag;MultiIndi;MultiNMI;Multiplicador;NMI;NombreCientifico;Observaciones;TAQContexto;TaxonAnalitica1;TaxonAnalitica1Etiqueta;TaxonAnalitica2;TaxonAnalitica2Etiqueta;TaxonAnalitica3;TaxonAnalitica3Etiqueta;TipoTaxon;TPQContexto
5061;f-2/1mm;5061-1;HOVUL;MF;Desecado;Bronce Inicial;4;Hordeum vulgare;1;Poaceae;I;17;Hordeum;Cereales;;;"Hordeum vulgare ; Endocarpio des.";;0;0;0;1;4,25;Hordeum vulgare;;-1200;44;adn;;;;;Endocarpio;-1800
5061;f-2/1mm;5061-1;TRADD;MF;Carbonizado;Bronce Inicial;2;"Triticum aestivum
Triticum durum";1;Poaceae;I;1;Triticum;Cereales;;;"Triticum aestivum/durum ; Semilla carb.";;0;0;0;1;0,5;Triticum aestivum/durum;;-1200;;;;;;;Semilla;-1800
5061;f-2/1mm;5061-1;TRIT;MF;Carbonizado;Bronce Inicial;2;Triticum sp.;0;Poaceae;I;;Triticum;Cereales;;1;"Triticum sp. ; Semilla carb.";;0;1;1;1;1;Triticum sp.;;-1200;;;;;;;Semilla;-1800
5061;f-2/1mm;5061-1;HOTR;MF;Carbonizado;Bronce Inicial;2;"Hordeum
Triticum ";0;Poaceae;I;13;"Hordeum
Triticum";Cereales;;;"Hordeum/Triticum ; Semilla carb.";;0;0;0;1;6,5;Hordeum/Triticum;;-1200;;;;;;;Semilla;-1800
5061;f-2/1mm;5061-1;LOLI;MF;Carbonizado;Bronce Inicial;2;Lolium sp.;1;Poaceae;I;;Lolium;Silvestres;;3;"Lolium sp. ; Semilla carb.";;0;3;3;1;3;Lolium sp.;;-1200;;;;;;;Semilla;-1800
5061;f-2/1mm;5061-1;INDET;MF;Carbonizado;Bronce Inicial;2;Indeterminata ;0;Indeterminata;I;1;Indeterminata;Silvestres;;1;"Indeterminata ; Semilla carb.";;0;1;1;1;1,5;Indeterminata;;-1200;;;;;;;Semilla;-1800
7091;f-2/1mm;7091-1;TRADD;MF;Carbonizado;Bronce Inicial;4;"Triticum aestivum
Triticum durum";1;Poaceae;I;;Triticum;Cereales;;1;"Triticum aestivum/durum ; Semilla carb.";;0;1;1;1;1;Triticum aestivum/durum;;-1200;;;;;;;Semilla;-1800
5115;f-2/1mm;5115-1;TRAED;MF;Carbonizado;Bronce Inicial;2;"Triticum aestivum
Triticum durum
Triticum compactum";1;Poaceae;I;;Triticum;Cereales;;11;"Triticum aestivum/durum/compactum ; Semilla carb.";;0;11;11;1;11;Triticum aestivum/durum/compactum;;-1200;;;;;;;Semilla;-1800
5115;f-2/1mm;5115-1;TRADD;MF;Carbonizado;Bronce Inicial;2;"Triticum aestivum
Triticum durum";0;Poaceae;I;14;Triticum;Cereales;;;"Triticum aestivum/durum ; Semilla carb.";;0;0;0;1;7;Triticum aestivum/durum;;-1200;;;;;;;Semilla;-1800
5115;f-2/1mm;5115-1;HOTR;MF;Carbonizado;Bronce Inicial;2;"Hordeum
Triticum ";0;Poaceae;I;182;"Hordeum
Triticum";Cereales;;;"Hordeum/Triticum ; Semilla carb.";;0;0;0;1;91;Hordeum/Triticum;;-1200;;;;;;;Semilla;-1800
